src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.69,172.237.61.197,47840,443,6,2025-12-15 10:15:33,106.02013540267944,8.602139551473833,0.12261821729074543,0.066025193925786,0.05659302336495943,7,6,462,450,66,66,66.0,0.0,93,66,75.0,12.727922061357855,93,66,70.15384615384616,9.74163273194097,94.89940828402366,140,120,20,0,8.83501128355662,30.47267246246338,0.0,13.034978165686104,105.98396396636963,30.47267246246338,0.0,17.66399399439494,13.583187259063015,105.9761118888855,30.508852005004883,0.0028259754180908203,21.1952223777771,12.13280481810204,0,2,0,0,0,0,0,2,13,0,0,0.8571428571428571,70.15384615384616,515,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,75.0,0,7,6,462,450
192.168.1.69,192.200.0.116,39594,443,6,2025-12-15 10:15:38,129.99130535125732,8.05438484651599,0.09231386643571336,0.04615693321785668,0.04615693321785668,6,6,396,651,66,66,66.0,0.0,151,66,108.5,42.5,151,66,87.25,36.80607966083864,1354.6875,120,120,20,0,11.817391395568848,30.22033405303955,0.0,13.071708090668393,104.44794845581055,30.22033405303955,0.0,20.889589691162108,11.094831569761151,129.74467015266418,30.46817445755005,20.33528232574463,25.948934030532836,3.9701095670209767,0,3,0,0,0,0,0,3,12,0,0,1.0,87.25,468,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,108.5,0,6,6,396,651
192.168.1.223,192.168.1.69,38318,22,6,2025-12-15 10:17:15,122.88095140457153,2.1484208657435446,0.032551831299144615,0.02441387347435846,0.008137957824786154,3,1,198,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,60,20,20,0,40.96031713485718,122.88077783584595,0.0,57.92651327963858,122.88095140457153,122.88095140457153,0.0,61.44047570228577,61.44047570228577,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3333333333333333,66.0,64,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,3,1,198,66
192.168.1.69,192.200.0.116,39594,443,6,2025-12-15 10:17:48,107.0226936340332,7.755364510243088,0.09343812662943479,0.05606287597766088,0.03737525065177392,6,4,396,434,66,66,66.0,0.0,151,66,108.5,42.5,151,66,83.0,34.0,1156.0,120,80,20,0,11.891410403781467,30.38686203956604,0.0,13.481989435690195,107.0226936340332,30.38686203956604,0.0,21.404538726806642,11.316549204131473,76.51021027565002,30.631169319152832,20.053077697753906,25.503403425216675,4.324506848364799,0,2,0,0,0,0,0,2,10,0,0,0.6666666666666666,83.0,468,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,108.5,0,6,4,396,434
192.168.1.69,172.237.61.197,47840,443,6,2025-12-15 10:17:49,121.34399509429932,8.059731338497409,0.11537447723820421,0.06592827270754527,0.04944620453065895,8,6,528,450,66,66,66.0,0.0,93,66,75.0,12.727922061357855,93,66,69.85714285714286,9.44803186502083,89.26530612244899,160,120,20,0,9.334153468792255,30.3762366771698,0.0,13.909352744883222,121.34399509429932,30.3762366771698,0.0,17.33485644204276,14.87424778611933,91.13246202468872,30.412492513656616,0.09801554679870605,18.226492404937744,14.718464521991324,0,2,0,0,0,0,0,2,14,0,0,0.75,69.85714285714286,515,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,75.0,0,8,6,528,450
192.168.1.69,192.168.1.223,22,38318,6,2025-12-15 10:19:18,122.88062620162964,1.611319913646193,0.02441393808554838,0.01627595872369892,0.00813797936184946,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,61.44031310081482,122.88062620162964,0.0,61.44031310081482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,525,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
172.237.61.197,192.168.1.69,443,47840,6,2025-12-15 10:19:51,121.81715536117554,7.486630247570733,0.10671731712546001,0.057463170759863076,0.049254146365596926,7,6,516,396,93,66,73.71428571428571,12.197356689220893,66,66,66.0,0.0,93,66,70.15384615384616,9.74163273194097,94.89940828402368,140,120,20,2,10.151429613431295,30.4861958026886,0.0,14.231362781719042,91.64456915855408,30.521758317947388,0.0,15.274094859759012,15.072782282378471,121.41129517555237,30.4861958026886,0.23378944396972656,24.282259035110474,12.024667910854578,2,0,0,0,0,0,0,2,13,0,0,0.8571428571428571,70.15384615384616,505,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.71428571428571,66.0,0,7,6,516,396
192.168.1.69,192.200.0.116,39594,443,6,2025-12-15 10:20:06,102.64683365821838,8.728958975816028,0.10716355885488425,0.05845285028448232,0.04871070857040193,6,5,396,500,66,66,66.0,0.0,151,66,100.0,41.641325627314025,151,66,81.45454545454545,32.78404167319447,1074.793388429752,120,100,20,0,10.264683365821838,30.338764905929565,0.0,12.777496479731777,102.40000581741333,30.338764905929565,0.0,20.480001163482665,11.041161469166852,102.40008354187012,30.585808277130127,20.61462163925171,25.60002088546753,4.863168330848617,0,2,0,0,0,0,0,2,11,0,0,0.8333333333333334,81.45454545454545,468,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,100.0,0,6,5,396,500
192.168.1.69,192.168.1.223,22,38318,6,2025-12-15 10:21:21,122.88046503067017,1.611322027065738,0.024413970107056638,0.016275980071371092,0.008137990035685546,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,61.44023251533508,122.88046503067017,0.0,61.44023251533508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,525,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
172.237.61.197,192.168.1.69,443,47840,6,2025-12-15 10:21:53,91.14698028564453,9.577936616924825,0.13165548614329659,0.07679903358358967,0.054856452559706906,7,5,543,330,93,66,77.57142857142857,13.361534801245625,66,66,66.0,0.0,93,66,72.75,11.691342951089922,136.6875,140,100,20,3,8.286089116876775,30.38534140586853,0.0,13.444782949295194,91.14698028564453,30.422731161117554,0.0,15.191163380940756,15.090168455163983,91.10964298248291,30.38534140586853,0.3346245288848877,22.777410745620728,12.957585413612485,3,0,0,0,0,0,0,3,12,0,0,0.7142857142857143,72.75,505,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.57142857142857,66.0,0,7,5,543,330
192.168.1.69,3.96.231.61,53128,443,6,2025-12-15 10:20:01,4.3658506870269775,2063.0572700903604,7.32961392726674,4.122907834087541,3.2067060931791986,18,14,3143,5864,583,66,174.61111111111111,187.60808407389203,1514,66,418.85714285714283,569.3606510994662,1514,66,281.46875,419.8859952694749,176304.2490234375,360,280,20,7,0.1408338931299025,2.274458408355713,0.0,0.4118445171447318,4.3658506870269775,2.4459643363952637,0.0,0.25681474629570455,0.5707606194410821,4.190093040466309,2.274458408355713,7.152557373046875e-07,0.3223148492666391,0.6239938837168411,7,6,0,0,2,4,0,13,30,0,0,0.7777777777777778,281.46875,64240,26847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.61111111111111,418.85714285714283,0,18,14,3143,5864
192.200.0.116,192.168.1.69,443,39594,6,2025-12-15 10:22:12,138.68849515914917,8.162176672989323,0.08652484105642391,0.043262420528211956,0.043262420528211956,6,6,736,396,151,66,122.66666666666667,40.069384267237695,66,66,66.0,0.0,151,66,94.33333333333333,40.069384267237695,1605.5555555555557,120,120,20,4,12.608045014468106,30.484756231307983,0.0,13.895126133463192,108.44319796562195,30.733729362487793,0.0,21.68863959312439,11.276030062477787,138.6882839202881,30.484756231307983,23.787230968475342,27.737656784057616,3.13055381625776,4,0,0,0,0,0,0,4,12,0,0,1.0,94.33333333333333,602,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.66666666666667,66.0,0,6,6,736,396
192.168.1.69,192.168.1.223,22,38318,6,2025-12-15 10:23:24,122.88027381896973,1.611324534413868,0.024414008097179817,0.016276005398119877,0.008138002699059938,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,61.44013690948486,122.88027381896973,0.0,61.44013690948486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,66.0,525,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
192.168.1.69,172.237.61.197,47840,443,6,2025-12-15 10:23:54,91.17366790771484,10.002888124706336,0.14258502809340173,0.07677655358875478,0.06580847450464695,7,6,462,450,66,66,66.0,0.0,93,66,75.0,12.727922061357855,93,66,70.15384615384616,9.74163273194097,94.89940828402366,140,120,20,0,7.597805658976237,30.288053274154663,0.0,13.037933394615246,91.13599944114685,30.288053274154663,0.0,15.189333240191141,15.003600986828081,91.13634538650513,30.325895071029663,0.08977007865905762,18.227269077301024,14.686997457995432,0,2,0,0,0,0,0,2,13,0,0,0.8571428571428571,70.15384615384616,515,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,75.0,0,7,6,462,450
